polity_id,year,gdp_int_usd,est_frac
Papal States,1850,10467914871.99427,0.00124785141611209
Paraguay,1850,716006931.9151669,0.4948298304668474
Portuguese Colonies,1850,648387606.7183194,0.6646016633022446
Principality of Andorra,1850,5446890.866872038,0.824627553701395
Principality of Hohenzollern-Sigmaringen,1850,256339772.69628906,0.0
Principality of Lippe,1850,441576496.3457031,0.0
Principality of Reuss-Gera,1850,402184662.7416992,0.0
Principality of Schwarzburg-Sonderhausen,1850,260141802.3574219,0.0
Principality of Waldeck and Pyrmont,1850,180415509.6899414,0.0
Qajar Dynasty,1850,7070535021.892999,0.005557664369314883
Qatar Dynasty,1850,43219171.93100832,0.857364441275324
Qing Dynasty,1850,385543921521.01306,0.24955487892149766
Rattanakosin Kingdom,1850,4288872758.3718143,0.2202140608865148
Republic of Baden,1850,2246498532.0617914,0.0
Republic of Chile,1850,1657278860.107936,0.0
Republic of Costa Rica,1850,109527462.84293626,1.0
Republic of Ecuador,1850,1164933904.1385937,0.9951728260183195
Republic of El Salvador,1850,389813128.49285895,1.0
Republic of Liberia,1850,845753933.1399962,1.0
Republic of New Granada,1850,1794535800.178514,0.07165876939335102
Republic of Nicaragua,1850,310810094.3551049,1.0
Republic of Peru,1850,1874772721.4731836,0.0054221266380951
Riau-Lingga Sultanate,1850,281679674.17751884,0.0
Russian Empire,1850,85868548627.17352,0.7711405973702835
Saxe-Altenburg,1850,412550140.46484375,0.0
Saxe-Meiningen,1850,645813410.2451172,0.0
Serbs,1850,2191421232.605603,1.0
Sokoto Caliphate,1850,18104850374.402767,1.0
Spanish Empire,1850,5383993835.313509,0.029330152757379383
Sultanate of Aceh,1850,143899422.0934658,0.0
Sultanate of Banjar,1850,103635621.51454067,0.0
Sultanate of Bima,1850,54824754.71474457,0.0
Sultanate of Bone,1850,57031043.64656067,0.0
Sultanate of Brunei,1850,93414717.69245698,0.10989645788863775
Sultanate of Darfur,1850,542931650.7512426,1.0
Sultanate of Jambi,1850,70453044.91114996,0.0
Sultanate of Johor,1850,114981118.88198282,0.002379025435375052
Sultanate of Kedah,1850,86698378.96500514,0.0
Sultanate of Maguindanao,1850,2895221.3616973874,0.0
Sultanate of Malacca,1850,645736410.0931377,0.0
Sultanate of Oman,1850,518205683.5001803,0.9948500859067348
Sultanate of Perak,1850,200571626.6706137,0.0
Sultanate of Selangor,1850,107966173.29058245,0.0
Sultanate of Sulu,1850,106107720.65208685,0.0
Sultanate of Terengganu,1850,58761890.09480226,0.0
Swiss Confederation,1850,5745134409.051462,0.002679722735457675
Talpur Dynasty,1850,103969525.51569317,0.9843676928124483
Tokugawa Shogunate,1850,44529295116.18974,0.0
Trucial States,1850,65613321.538367786,0.979784550853519
United Kingdoms of Sweden and Norway,1850,6902180977.512432,1.052247950325346e-05
United States of America,1850,84100575033.0938,0.0
Venezuela,1850,2442590146.5197244,0.0011794666380553441
Wadai Empire,1850,633160831.2089466,1.0
Zululand,1850,60848935.407680936,0.00707389260196981
Argentine Confederation,1900,22532328805.985474,0.0002168497871333316
Austria-Hungary,1900,77937034933.72772,0.4449635703694229
Bali,1900,548873792.0928955,0.0
Belgian Congo,1900,20895798821.732437,1.0
Bolivia,1900,3164847052.941548,0.19496475501693306
Brazilian Republic,1900,15552113452.615456,0.002218671921299555
British Africa,1900,80238762689.57362,0.7578310115852716
British Colonial Empire,1900,90305771909.71222,0.015231281755599737
British Raj,1900,361986443740.0514,0.24720690025220018
Cretan State,1900,509523669.299469,0.0
Denmark-Norway,1900,11721750800.336899,0.7210737602215485
Dominican Republic,1900,866307638.1368506,1.0
Dutch East Indies,1900,40451423225.63024,0.0001811906178689633
Emirate of Afghanistan,1900,6654145239.087687,0.9991946658411883
Emirate of Jabal Shammar,1900,755094279.8116275,0.0
Empire of Haiti,1900,2055461402.1181803,1.0
Empire of Japan,1900,96497738044.00671,0.018253501134847656
Ethiopian Empire,1900,29000660430.200924,1.0
First Hellenic Republic,1900,6304713742.673405,0.0
French Africa,1900,31870811937.68845,0.7533680428002698
French Indochina,1900,26472947026.284042,0.5505020561932922
French Third Republic,1900,179029847147.98608,0.0018036381380864535
German Africa,1900,17499033007.95237,0.9951646565721103
German Empire,1900,252228821904.21088,0.21944428233944524
Greenland,1900,67818248.33637469,1.0
Guatemala,1900,2360435597.2621884,0.9984866427334872
Honduras,1900,915031735.3097517,1.0
Italian Africa,1900,3481897692.908151,1.0
Kedah-Perlis District,1900,24128950.59124517,0.0
Kelantan,1900,137056504.04272583,0.0
Kingdom of Belgium,1900,38822996050.0587,0.0024683187761799655
Kingdom of Bhutan,1900,116278408.40930031,0.9632086342864706
Kingdom of Great Britain,1900,175563284927.92087,0.2568996462677288
Kingdom of Italy,1900,103439837295.7561,0.0061684776683393755
Kingdom of Monaco,1900,380882003.8828125,0.0
Kingdom of Portugal,1900,27210286622.105667,0.9582418291878846
Kingdom of Spain,1900,39669166077.37854,0.1115989903247353
Korean Empire,1900,14689829169.5177,0.0003789165133624805
Luxembourg,1900,571807745.9442468,0.9078612146528331
Mexico,1900,25193137960.49395,0.002225112487269625
Montenegro,1900,347220919.18154305,0.9846169505309255
Morocco,1900,6940714493.766632,0.0
Natalia Republic,1900,995016425.5688388,0.017167603407740914
Nepal,1900,4395194234.205684,0.0
Netherlands,1900,26943585520.927845,0.05885062474361752
Netherlands Antilles,1900,311480867.0400253,0.9941584752935266
New Hebrides,1900,101832268.96190491,1.0
Oriental Republic of Uruguay,1900,3196445171.8345265,0.0
Ottoman Empire,1900,36967172455.16578,0.14095110010468082
Ottoman Tripolitania,1900,939034068.1990398,0.9995399864169217
Paraguay,1900,1228350780.4511757,0.9536200206759367
Portuguese Colonies,1900,1164203229.3261676,0.7447702447228716
Principality of Andorra,1900,9617045.779242259,0.7635437942803484
Principality of Bulgaria,1900,4849427400.815463,0.0073252374652161755
Qajar Dynasty,1900,14090970741.30832,0.006337589323039977
Qatar Dynasty,1900,25692978.215390116,1.0
Qing Dynasty,1900,382949142538.04407,0.22638068650088128
Rattanakosin Kingdom,1900,10010237204.369772,0.15314247977641787
Republic of Chile,1900,9679934662.812237,0.0
Republic of Colombia,1900,4844066827.911554,0.09721981562040288
Republic of Costa Rica,1900,549391552.3234459,1.0
Republic of Ecuador,1900,1530504324.0943007,0.0
Republic of El Salvador,1900,1428310117.684006,1.0
Republic of Liberia,1900,395331551.5171595,0.9961584827453778
Republic of Nicaragua,1900,907283571.7789142,1.0
Republic of Peru,1900,5158972203.326934,0.0
Russian Empire,1900,326361744658.10925,0.9508493632261741
Serbs,1900,6054167974.610795,0.9972945096688162
Sokoto Caliphate,1900,13378028325.969093,1.0
Sultanate of Aceh,1900,529285480.7377722,0.0
Sultanate of Jambi,1900,199614828.21108449,0.0
Sultanate of Kedah,1900,172969010.31931612,0.0
Sultanate of Muscat and Oman,1900,995242187.3539548,1.0
Sultanate of Terengganu,1900,116874798.68923692,0.0
Swaziland,1900,171632074.59290317,0.8758355680072575
Swiss Confederation,1900,21310115415.143147,0.0019195712315768722
United Kingdoms of Sweden and Norway,1900,24127184214.333042,1.0335022363861477e-05
United Principalities of Moldavia and Wallachia,1900,4148789969.5991497,0.020278271570392657
United States of America,1900,667037290180.06,0.00017188952011079037
Venezuela,1900,4309938037.350912,0.0014981520988754553
Wadai Empire,1900,1145146160.928709,1.0
Argentine Republic,1950,133868188099.23073,0.0
Belgian Congo,1950,15378240783.902445,0.00013581753689723147
Bolivia,1950,8364754720.6641035,0.0
Brazilian Republic,1950,121886558591.05058,0.0005616405453164776
British Africa,1950,94026476381.8625,0.20240290529560204
British Colonial Empire,1950,107321799940.47545,0.1274238776338606
Burma,1950,10993410205.34961,0.0
Canada,1950,157518679714.92047,0.0
Commonwealth of Australia,1950,100580290317.85074,0.0003586907387167222
Czechoslovakia,1950,36485193355.74367,0.9431554403209662
Democratic People's Republic of Korea,1950,22908610815.740284,0.0004996326866981873
Denmark,1950,58171369464.920906,0.9844747021329493
Dominican Republic,1950,3908809028.5785437,0.0
Estado Novo,1950,36669682099.83343,0.00554664095442825
Ethiopia,1950,11584669826.11129,0.010924643719967377
Federal Republic of Germany,1950,169980646831.69156,0.00011133658235651503
Francoist Spain,1950,37475164865.06492,0.06030241931447089
French Africa,1950,67860833174.04808,9.041203754573117e-05
French Fourth Republic,1950,364872380890.0137,0.002145025460550716
French Indochina,1950,34024416329.39836,0.11307606419221544
German Democratic Republic,1950,120602481771.4447,0.0005639232657137881
Guatemala,1950,10338306376.882158,0.016386880174087855
Honduras,1950,2931159985.939899,0.0
Hungarian People's Republic,1950,18353718729.521484,0.010762183970984121
Islamic Republic of Pakistan,1950,84956698168.62566,0.0012478550307454107
Kingdom of Afghanistan,1950,9563753265.346436,0.013490631408731968
Kingdom of Belgium,1950,75615354660.6737,0.0
Kingdom of Bhutan,1950,267263869.9801426,0.6280788314351242
Kingdom of Egypt,1950,30495213503.651073,0.0
Kingdom of Great Britain,1950,483938331010.0146,0.0006651675300081317
Kingdom of Greece,1950,23034862580.05568,0.00296063878398887
Kingdom of Iraq,1950,13170230716.565094,0.0
Kingdom of Jordan,1950,2669565776.787028,0.0
Kingdom of Norway,1950,28177621921.902447,1.1911776325394662e-05
Kingdom of Saudi Arabia,1950,11410374574.923311,0.0
Kingdom of Sweden,1950,74845341068.35704,0.0
Kingdom of Thailand,1950,26689235483.7593,0.0
Lebanon,1950,5652519845.139602,0.0
Luxembourg,1950,3270519022.3972178,0.0
Mexico,1950,99031880846.55743,0.00022383433425387828
Mongolian People's Republic,1950,530772260.4553613,0.016413859113685512
Nepal,1950,6632144134.135536,0.0
Netherlands,1950,91775545612.74498,0.0
Netherlands Antilles,1950,2032222570.7544727,0.9947670647655961
New Hebrides,1950,184392161.8625086,1.0
New Zealand,1950,14526180374.696379,0.0
North Yemen,1950,5162557061.099501,0.0
Oriental Republic of Uruguay,1950,16338622555.151953,0.0
Pahlavi Dynasty,1950,46193270273.46618,0.0034897674242515076
Papua New Guinea,1950,6945844526.854453,0.9962472578600561
Paraguay,1950,3791748188.08091,0.0
People's Republic of Bulgaria,1950,19087134867.5695,0.0068641417145573706
People's Republic of China,1950,422638979445.40356,0.0037984519315679
People's Socialist Republic of Albania,1950,1969222339.8825402,0.03515507302931174
Principality of Andorra,1950,19393557.253904775,0.727109211047771
Principality of Monaco,1950,1429641412.6640625,0.0
Qatar Protectorate,1950,177186379.67920387,0.0
Republic of Chile,1950,35601169396.899475,0.0
Republic of China,1950,15487557336.595848,0.0
Republic of Colombia,1950,41266079594.46483,0.0
Republic of Costa Rica,1950,3007408715.1335125,0.0
Republic of Cuba,1950,15616922943.613384,0.0
Republic of Ecuador,1950,10450904915.124014,0.0
Republic of El Salvador,1950,5161151027.530464,0.0
Republic of Finland,1950,27142900736.325138,0.0038856685976766596
Republic of Haiti,1950,5590276297.738702,0.0
Republic of Iceland,1950,1215177385.7435424,0.0
Republic of India,1950,365133714003.4784,0.00029413554366030986
Republic of Indonesia,1950,98414326738.47607,0.0001721860835926125
Republic of Italy,1950,259010357100.37985,0.00035842576745496394
Republic of Korea,1950,10261765023.02322,0.0
Republic of Liberia,1950,2618788620.5582557,0.0
Republic of Nicaragua,1950,3313951292.6608996,0.0
Republic of Panama,1950,2118857664.4650598,0.0
Republic of Peru,1950,27914331920.00534,0.0
Republic of Turkey,1950,44881606179.071785,0.0049133372533540715
Republic of the Philippines,1950,34032101242.301563,0.0
Second Republic of Austria,1950,42419806052.14181,0.004672309314484207
Second Syrian Republic,1950,13357250933.612452,0.0
Socialist Federal Republic of Yugoslavia,1950,50706358844.50598,0.9899507629154606
Socialist Republic of Romania,1950,14303973301.078667,0.03592150983677272
South Africa,1950,56624205048.860695,0.0
Sri Lanka,1950,16456524139.47497,0.0
State of Israel,1950,7370100008.002349,0.0
Swiss Confederation,1950,51317444834.30951,0.001902868704666435
Tangier International Zone,1950,187885165.42456055,0.0
Tibet,1950,567033395.2692555,0.0004897481708152904
Union of Soviet Socialist Republics,1950,641942517366.4885,0.9744286880288068
United States of America,1950,3914858411581.718,3.0381007075596913e-05
Venezuela,1950,42850706210.13334,0.0007373553256482286
Éire,1950,38885834680.8668,0.0
Afghanistan,2000,911143522.896202,0.0
Antigua and Barbuda,2000,761927465.6637142,1.0
Arab Republic of Egypt,2000,445727778492.1405,0.0
Argentine Republic,2000,521271177077.18427,0.0
Barbados,2000,3370644631.905802,0.0
Belize,2000,1588249459.5370603,0.9946259907176699
Bolivia,2000,35944947476.24804,0.0
Bosnia and Herzegovina,2000,26632742280.778763,0.0
British Overseas Territories,2000,1782169014.720183,0.9686291592138458
