from,to,population
Taifa of Tejada,Almohad Caliphate,14864.055603027344
Sultanate of Sambas,Dutch East Indies,14861.872992992401
Stateless & unmapped,Kazakhstan,14845.583238959312
Grand Duchy of Tuscany,Duchy of Modena and Reggio,14802.333374023438
Song,Lu,14774.235484313966
Stateless & unmapped,Sultanate of Gowa,14760.032699584961
Stateless & unmapped,Rajahnate of Cebu,14739.160843849182
Kingdom of Hungary,Stateless & unmapped,14641.77490234375
Novgorod Republic,Principality of Smolensk,14629.163673400879
(Dutch Republic),(Holy Roman Empire),14626.211929321289
Stateless & unmapped,Giudicato of Gallura,14599.693621635437
Sultanate of Malacca,Stateless & unmapped,14528.141235351562
Anglo-Saxon England,Kingdom of Lindsey,14526.339595794678
Lohara Dynasty,Ghaznavid Empire,14513.684261247516
Western Satraps,Eastern Kushans,14495.370574951172
British Empire,Nepal,14481.6845703125
Duchy of Greater Poland,(Kingdom of Bohemia),14471.463249206543
Kashmir and Jammu,British Raj,14463.535255432129
Habsburg Monarchy,Duchy of Lorraine,14454.816955566406
British Raj,Stateless & unmapped,14445.27912902832
Tver,Grand Principality of Moscow,14439.968566894531
Ilkhanate,Golden Horde,14373.615964531898
Nawabs of Bengal,Danish India,14370.6640625
Uyghur Khaganate,Kara-Khanids,14361.872021600604
Former Liang,Southern Liang,14358.256576538086
Electorate of Saxony,Principality of Reuss-Gera,14336.509521484375
Sultanate of Oman,Stateless & unmapped,14259.323082089424
West Franks,County of Urgell,14225.058731079102
Stateless & unmapped,Empire of Kanem,14200.060577392578
Electorate of Saxony,Austrian Empire,14172.626953125
(Phoenician Empire),Stateless & unmapped,14150.292439270019
Kamarupa Kingdom,Tibetans,14123.551833987236
Kingdom of Georgia,Shirvan,14122.90267944336
Stateless & unmapped,Brandenburg-Prussia,14121.098770141602
Holy Roman Empire,Duchy of Silesia,14114.085300445557
(Kingdom of Poland),Kingdom of Hungary,14064.503887176514
Odrysian Kingdom,Macedonian Empire,14046.714277648925
County of Aragon,County of Ribagorza,14039.908668518066
Stateless & unmapped,Sultanate of Bone,14007.07356262207
Stateless & unmapped,Samudera Pasai Sultanate,13980.970626831055
Denmark-Norway,Free City of Hamburg,13950.77587890625
Caliphate of Córdoba,Taifa of Alpuente,13934.470603942871
Sultanate of Sukadana,Dutch East Indies,13895.34120464325
(Holy Roman Empire),Republic of Florence,13890.040832519531
Unified Silla,Tamna,13869.907608032227
Jin,Later Zhou,13859.096044921875
County of Osona,County of Berga,13775.5947265625
Taifa of Niebla,Crown of Castile,13745.512557983398
Viking settlements,Kingdom of Poland,13731.19695070386
Kingdom of Brycheiniog,Norman England,13707.911865234375
Mongol Empire,Nizhny Novgorod,13672.26282119751
Ilkhanate,Tughlaq Dynasty,13659.836242675781
Holy Roman Empire Minor States,Electorate of Trier,13637.84066772461
Demak Sultanate,Sultanate of Cirebon,13634.986328125
Southern Liang,Northern Wei,13624.634262084961
Kingdom of Jordan,Kingdom of Saudi Arabia,13606.272432088852
Stateless & unmapped,Papal States,13579.097076416016
Seleucid Empire,Maurya Empire,13546.104298830032
Tibetans,Kamarupa Kingdom,13507.482197523117
Stateless & unmapped,Golden Horde,13427.058764971793
Stateless & unmapped,Antigonid Macedonia,13423.910575628282
British Africa,Togo,13411.28515625
Phayao Kingdom,Lan Na Kingdom,13402.771608352661
Stateless & unmapped,Cimmerian Bosporus,13389.174871802337
Danish India,British Colonial Empire,13389.106979370117
Nizhny Novgorod,Grand Principality of Moscow,13387.301723480225
Tibetan Empire,Tang Dynasty,13331.18031701073
Wusun,White Huns,13296.220267258584
Almoravid Dynasty,Taifa of Tejada,13219.383293151855
Principality of Capua,Norman Italy,13211.866943359375
Lydia,Stateless & unmapped,13199.320039939881
Republic of Florence,Iberian Union,13193.331176757812
Stateless & unmapped,Kara-Khanids,13140.185579001904
Taifa of Badajoz,Almohad Caliphate,13137.083740234375
Kingdom of Wessex,Viking settlements,13131.25732421875
French Fourth Republic,Luxembourg,13129.177734375
Western Chalukya Empire,Paramara Dynasty,13082.822631835938
Kingdom of Syrmia,Kingdom of Hungary,13069.343185424805
Stateless & unmapped,Seleucid Empire,13064.661708426474
West Franks,County of Pallars,13053.610485076904
Dumnonia,Cornwall,13048.507925987244
Crown of Castile,Emirate of Granada,13026.723022460938
Stateless & unmapped,Sultanate of Sulu,13011.825612097979
Stateless & unmapped,Taifa of Valencia,13004.077331542969
Chagatai Khanate,Golden Horde,12966.517520979047
Republic of Genoa,Byzantine Empire,12938.507286071777
Emirate of Sicily,Stateless & unmapped,12918.514556884766
Sultanate of Cirebon,Sultanate of Banten,12907.491577148438
Sultanate of Rum,Byzantine Empire,12889.1904296875
Sur Empire,Gorkha Kingdom,12821.7919921875
Southern Song,Stateless & unmapped,12819.497673034668
Former Liang,Later Qin,12815.835433959961
Socialist Federal Republic of Yugoslavia,Republic of Albania,12804.6474609375
Wattasid dynasty,Portuguese Africa,12784.826278686523
Kingdom of France,Duchy of Lorraine,12765.044677734375
Stateless & unmapped,Bavarians,12740.451400756836
Kingdom of Spain,Polish-Lithuanian Commonwealth,12732.409729003906
Bidar Sultanate,Ahmadnagar Sultanate,12691.833618164062
Kingdom of Essex,Kingdom of Mercia,12674.411231994629
Stateless & unmapped,(Phoenician Empire),12655.761470484735
Vijayanagara Empire,Bahmani Sultanate,12646.665771484375
Gorkha Kingdom,Nawabs of Bengal,12642.889404296875
Caliphate of Córdoba,Taifa of Morón,12635.437271118164
Kingdom of Pontus,Kingdom of Commagene,12620.396576690673
Haripuñjaya,Phayao Kingdom,12617.459041595459
Electorate of Saxony,Stateless & unmapped,12595.369018554688
Greenland,Denmark,12566.520533800125
Greek City-States,Thebans,12509.173291397092
White Huns,Gupta Empire,12476.63037109375
Kingdom of Dali,Shan States,12444.54959487915
Sunda Kingdom,Majapahit,12431.8994140625
County of Flanders,County of Boulogne,12403.392135620117
English Colonial Empire,Dutch Cape Coast,12352.835693359375
Heian Japan,Northern Fujiwara,12346.027053833008
British Cape Colony,French Africa,12324.637092590332
Shunten Dynasty,Hokuzan,12296.105407714844
New France,Stateless & unmapped,12264.133895311505
Taifa of Morón,Almoravid Dynasty,12243.420715332031
German Democratic Republic,Czech Republic,12212.55078125
Principality of Moldavia,Austria-Hungary,12162.8837890625
Stateless & unmapped,Republic of Finland,12127.918319702148
Stateless & unmapped,Western Roman Empire,12098.908752441406
Republic of Florence,(Holy Roman Empire),12096.998779296875
Denmark-Norway,German Empire,12068.009368896484
Taifa of Santa Maria do Algarve,Almoravid Dynasty,12017.621124267578
Duchy of Burgundy,County of Savoy,12007.178039550781
Kingdom of Jordan,Syria,11989.109375
Capetian House of Anjou,Kingdom of France,11908.50015258789
Stateless & unmapped,Malawi,11905.608276367188
Stateless & unmapped,Dabuyid Dynasty,11789.198768854141
Duchy of Jawor,(Kingdom of Bohemia),11783.904663085938
Duchy of Głogów,Duchy of Jawor,11783.904663085938
New Kingdom of Egypt,Kingdom of Kush,11750.937478840351
Stateless & unmapped,Cambodia,11717.0361328125
Qajar Dynasty,Sultanate of Oman,11712.571746826172
Later Zhou,Chu,11706.355731201173
(Delhi Sultanate),Kashmiri Sultanate,11668.503051757812
(Brythonic Kingdoms),Kingdom of Gwynedd,11650.473273515701
Swiss Confederation,Kingdom of Italy,11618.913592338562
German Africa,Estado Novo,11610.722673892975
Taifa of Valencia,Stateless & unmapped,11598.295806884766
Shirvan,Timurid Empire,11591.859100341797
Denmark-Norway,Stateless & unmapped,11575.600008964539
Principality of Salerno,Stateless & unmapped,11575.161804199219
Qing Dynasty,Estado Novo,11569.111328125
English Colonial Empire,Maratha Empire,11531.7392578125
Han Dynasty,Xiongnu,11522.066220567001
Uyghur Khaganate,Qarlugs,11515.11849308014
Byzantine Empire,Kingdom of the Iberians,11473.363037109375
Stateless & unmapped,Kingdom of Iraq,11471.858553171158
Kingdom of Sicily,Papal States,11458.04556274414
Kingdom of Prussia,Duchy of Anhalt,11455.537353515625
(Habsburg Monarchy),Duchy of Modena and Reggio,11444.953125
Papal States,(Holy Roman Empire),11437.94009399414
Kingdom of Northumbria,Kingdom of Mercia,11354.052509307861
French Consulate,Duchy of Oldenburg,11345.088623046875
Kingdom of Spain,Duchy of Modena and Reggio,11335.134460449219
Wu,Song,11306.016793823244
Small Horde,Tsardom of Russia,11305.203197479248
Sultanate of Banten,Stateless & unmapped,11302.650451660156
Montenegro,Stateless & unmapped,11297.6845703125
Ottoman Empire,Principality of Guria,11291.646682739258
Kingdom of Serbia,Kingdom of Hungary,11290.524597167969
Papal States,Kingdom of the Two Sicilies,11277.554992675781
Kingdom of Hungary,(Kingdom of Bohemia),11276.193176269531
Old Kingdom of Norway,Viking settlements,11251.127896308899
Turk Shahis,Stateless & unmapped,11232.076100744307
Stateless & unmapped,Austrian Empire,11228.519241333008
Jesuit Reducciones,Portuguese Empire,11177.842439755797
British Colonial Empire,Burma,11165.594177246094
Magyars,First Bulgarian Empire,11157.795168846846
Caliphate of Córdoba,Taifa of Santa Maria do Algarve,11148.041622161865
(Habsburg Monarchy),Duchy of Parma and Piacenza,11136.559448242188
Commonwealth of England,Stateless & unmapped,11136.392944335938
Holy Roman Empire,(Kingdom of France),11116.791015625
Tuyuhun,Tang Dynasty,11098.11695209518
Stateless & unmapped,Achaean League,11096.144723510743
Sikh Empire,Kashmir and Jammu,11085.88037109375
Kingdom of Italy,Papal States,11061.382720947266
(Holy Roman Empire),Republic of Venice,11055.771327495575
Dál Riata,Viking settlements,11039.119765281677
First Bulgarian Empire,Kingdom of Hungary,11006.337051391602
Janapada of Magadha,Stateless & unmapped,10997.285766601562
Stateless & unmapped,Hammadid Dynasty,10986.868621826172
Kingdom of Gwent,Norman England,10982.337768554688
Viking settlements,(Holy Roman Empire),10968.594532966614
Kingdom of Navarre,Stateless & unmapped,10909.634796142578
Stateless & unmapped,Emirate of Sicily,10899.014526367188
Kingdom of Lindsey,Kingdom of Northumbria,10895.841136932373
House of Habsburg,(Holy Roman Empire),10892.836791992188
Dutch Cape Coast,Ashanti Empire,10886.296936035156
Alodia,Stateless & unmapped,10878.498374462128
Atropatene,Stateless & unmapped,10851.386576843262
Paraguay,Argentine Confederation,10846.346122056246
Norman Italy,Stateless & unmapped,10834.906562805176
Republic of Pisa,Crown of Aragon,10800.026062011719
Khanate of Khiva,Emirate of Bukhara,10783.797843933105
Papal States,Middle Franks,10781.409255981445
Crown of Castile,Stateless & unmapped,10774.90771484375
Nogai Horde,Small Horde,10774.598836898804
Kingdom of the Isles,Kingdom of Mann,10735.30848789215
Capetian House of Anjou,Duchy of Brittany,10718.933837890625
Hafsid Dynasty,Stateless & unmapped,10708.514850616455
Almohad Caliphate,Stateless & unmapped,10702.709650039673
Sultanate of Kedah,Kedah-Perlis District,10686.853782653809
Athenian Coalition,Ptolemaic Kingdom,10659.257546901703
Kingdom of France,Duchy of Brittany,10658.589538574219
Stateless & unmapped,Denmark-Norway,10650.604338169098
Khmer Empire,Lavo Kingdom,10645.76554107666
Brythons,Strathclyde,10638.190115451813
Hanthawaddy Kingdom,Kingdom of Mrauk U,10637.173095703125
Republic of Florence,Kingdom of Spain,10625.453125
Stateless & unmapped,County of Barcelona,10593.20654296875
Habsburg Monarchy,Holy Roman Empire Minor States,10581.331604003906
Ashikaga Shogunate,Stateless & unmapped,10577.263061523438
Stateless & unmapped,Beylik of Karaman,10559.224922180176
Kingdom of Vaspurakan,Hamdanid Emirates,10542.630374908447
Satavahana Dynasty,Kushan Empire,10541.689712524414
County of Pallars Sobirà,Crown of Aragon,10482.818267822266
Holy Roman Empire Minor States,French Second Republic,10464.935546875
Western Xia,Great Jin,10464.104553222656
Stateless & unmapped,Angles,10462.761581420898
Later Han,Western Xia,10450.42548431456
County of Savoy,Habsburg Monarchy,10446.022491455078
Kingdom of Bosnia,Republic of Venice,10432.815711975098
Kingdom of France,(Holy Roman Empire),10361.979309082031
Later Zhao,Later Liang,10336.05703830719
Kingdom of Hungary,Principality of Wallachia,10310.9140625
Swiss Confederation,Habsburg Monarchy,10297.74853515625
Sultanate of Malacca,Sultanate of Johor,10287.90622806549
British Empire,Burma,10282.027893066406
Republic of Venice,Papal States,10259.381958007812
Sultanate of Malacca,Dutch Republic,10240.43603515625
Nayaks of Madurai,Kingdom of Mysore,10212.2880859375
Kingdom of Naples (Napoleonic),Papal States,10194.91162109375
British Empire,Kashmir and Jammu,10183.933349609375
Stateless & unmapped,Nayaks of Thanjavur,10172.070922851562
Sui Dynasty,Stateless & unmapped,10163.14966583252
Stateless & unmapped,Grand Duchy of Tuscany,10150.849609375
Viking settlements,Kievan Rus',10140.023470878601
Principality of Jersika,Stateless & unmapped,10133.927978754044
Kingdom of Armenia,Lazica,10130.44806518555
Rattanakosin Kingdom,Stateless & unmapped,10115.568161010742
Twenty-third Dynasty of Egypt,Stateless & unmapped,10107.634967041016
Stateless & unmapped,Duchy of Burgundy,10054.163261413574
Kingdom of Adiabene,Roman Empire,9989.6547164917
Neo-Assyrian Empire,Stateless & unmapped,9976.143722248076
Denmark-Norway,Electorate of Hanover,9926.2705078125
Republic of Venice,Holy Roman Empire Minor States,9854.352111816406
Danish India,Ashanti Empire,9849.42724609375
Heian Japan,Stateless & unmapped,9846.383743286133
Duchy of Lorraine,Habsburg Monarchy,9841.712158203125
Kingdom of France,Holy Roman Empire,9834.026245117188
Kingdom of León,Stateless & unmapped,9830.51318359375
Swiss Confederation,Stateless & unmapped,9817.447509765625
Duchy of Aquitaine,County of Nevers,9812.071113586426
Austrian Empire,Stateless & unmapped,9793.20361328125
Stateless & unmapped,Vandal Kingdom,9790.524536132812
Stateless & unmapped,Yue,9771.044186401368
Kashmiri Sultanate,Sur Empire,9744.812042236328
Ngô Dynasty,Southern Song,9736.881902694702
(Macedonian Empire),Greek City-States,9729.817094726563
Stateless & unmapped,Lebanon,9719.1865234375
Kingdom of Hungary,Serbian Empire,9714.68862915039
Fihrids,Rustamid dynasty,9699.584461212158
Duchy of Gascony,County of Aragon,9684.853969573975
Crimean Khanate,House of Jagiellon,9684.402328491211
Sultanate of Sulu,Stateless & unmapped,9652.254158496857
County of Savoy,Holy Roman Empire Minor States,9620.236451640725
Fatimid Caliphate,Norman Italy,9609.167663574219
(Kingdom of England),County of Blôis,9598.20181274414
Chandela Kingdom,Pala Empire,9538.634765625
Electorate of Hanover,Holy Roman Empire Minor States,9476.00927734375
Golden Horde,Khanate of Kazan,9454.510627746582
Republic of Venice,Kingdom of Bosnia,9452.152069091797
Shaybanids,Khanate of Khiva,9392.381391320378
Czechoslovakia,Ukraine,9379.900146484375
(Kingdom of France),Stateless & unmapped,9379.79248046875
Serbs,Socialist Republic of Romania,9357.65625
Stateless & unmapped,Mexico,9339.727969884872
Kimek-Kipchak confederation,Qarlugs,9338.673595428467
Kingdom of Bohemia,House of Ascania,9321.950958251953
Habsburg Monarchy,House of Savoy,9306.20654296875
Kingdom of Janggala,Stateless & unmapped,9302.967651367188
Electorate of Hanover,Free City of Bremen,9301.685546875
Qajar Dynasty,Stateless & unmapped,9259.598678588867
Korean Jin,Dongye,9250.906982541075
House of Bourbon,County of Touraine,9183.207794189453
Mitanni,Neo-Hittite states,9181.243576049805
Ptolemaic Kingdom,Maurya Empire,9172.388667297364
Almoravid Dynasty,Taifa of Almería,9164.452224731445
Ethiopia,State of Eritrea,9162.7880859375
Brythons,Kingdom of Kent,9157.194923400879
Kingdom of Serbia,Albanian Principalities,9152.426502227783
Angles,Scandinavian minor kingdoms,9151.533004760742
Eastern Roman Empire,Ghassanids,9147.004861593246
Principality of Capua,Duchy of Benevento,9146.677124023438
Duchy of Lorraine,Holy Roman Empire Minor States,9108.482727050781
County of Brabant,Holy Roman Empire Minor States,9096.670318603516
Golden Horde,Principality of Smolensk,9090.875900268555
Taifa of Toledo,Kingdom of Castile,9078.113250732422
Beylik of Tunis,Stateless & unmapped,9072.639358520508
Stateless & unmapped,Beylik of Teke,9032.18733215332
Seleucid Empire,Galatia,8955.777878761293
East Franks,Duchy of Bohemia,8912.471328735352
Principality of Abkhazia,Stateless & unmapped,8911.406993865967
Seleucid Empire,Antigonid Macedonia,8899.581298828125
Principality of Moldavia,Polish-Lithuanian Commonwealth,8878.529968261719
Duchy of Brittany,Capetian House of Anjou,8876.617004394531
Republic of Venice,Patriarchate of Aquileia,8853.70654296875
Kingdom of the Franks,Papal States,8846.16431427002
Republic of Pisa,Stateless & unmapped,8811.263250350952
House of Oldenburg,Kingdom of Scotland,8779.213933944702
Mongol Empire,Tver,8774.063661575317
Holy Roman Empire Minor States,Republic of Baden,8768.65234375
County of Foix,Stateless & unmapped,8743.53092956543
Electorate of Saxony,Kingdom of Spain,8741.509857177734
Stateless & unmapped,Netherlands Antilles,8736.19054850936
Sultanate of Oman,Emirate of Diriyah,8734.612947016954
Emirate of Sicily,Fatimid Caliphate,8648.250946044922
Stateless & unmapped,Swedish Empire,8639.997947216034
Hamdanid Emirates,County of Edessa,8608.187896728516
Kingdom of Croatia,Republic of Venice,8600.026916503906
Brythons,Kingdom of Northumbria,8598.531197071075
Kingdom of Spain,Duchy of Lorraine,8579.421142578125
Duchy of Styria,Stateless & unmapped,8567.239868164062
Stateless & unmapped,Beylik of Tunis,8566.076503753662
Beylik of Teke,Kingdom of Cyprus,8564.276153564453
Northern Song,Western Xia,8511.027213096619
Kingdom of Morgannwg,Norman England,8500.84341430664
Tamna,Unified Silla,8497.382125854492
Khazaria,Kimek-Kipchak confederation,8487.167958974838
Stateless & unmapped,Ryukyu Kingdom,8476.05908203125
Hunnic Empire,Ostrogothic Kingdom,8465.795330047607
Stateless & unmapped,Qasimids,8454.468032836914
Republic of Pisa,Holy Roman Empire Minor States,8448.980194091797
(Holy Roman Empire),County of Flanders,8444.616577148438
Aztec Triple Alliance,Stateless & unmapped,8432.541431188583
Stateless & unmapped,Regency of Algiers,8431.502313613892
Principality of Svaneti,Russian Empire,8425.765624046326
Stateless & unmapped,(Batavian Republic),8419.956787109375
Buyid Dynasty,Ghaznavid Empire,8415.045691490173
Duchy of Silesia,Kingdom of Poland,8396.322814941406
Kingdom of Pontus,Kingdom of Cappadocia,8395.922471618653
Stateless & unmapped,Kingdom of Navarre,8392.026870727539
Papal States,Duchy of Modena and Reggio,8371.029296875
Republic of Venice,Swiss Confederation,8357.781372070312
Caliphate of Córdoba,County of Barcelona,8337.959358215332
House of Bourbon,House of Savoy,8313.470947265625
Stateless & unmapped,Burma,8296.47290802002
Silla,Stateless & unmapped,8288.1826171875
Ottoman Empire,Principality of Moldavia,8286.68472290039
Kingdom of Cyprus,Ottoman Empire,8280.67056274414
Stateless & unmapped,Indo-Greeks,8277.751560407878
Stateless & unmapped,Dong-okjeo,8259.920845985413
Stateless & unmapped,Nicaean Empire,8256.951797485352
Kingdom of Spain,Swiss Confederation,8256.015364408493
Duchy of Silesia,Holy Roman Empire,8234.167114257812
Stateless & unmapped,Kingdom of Naples,8232.720230102539
Luxembourg,French Fourth Republic,8230.302734375
Pontianak Kadriyah Sultanate,Dutch East Indies,8171.178616523743
Stateless & unmapped,Kingdom of Denmark,8157.098271846771
Republic of Ragusa,Austrian Empire,8156.38200378418
Michoacán,Stateless & unmapped,8151.326904296875
Stateless & unmapped,Khanate of Bukhara,8129.403859265149
British Colonial Empire,Saint Lucia,8127.351318359375
Stateless & unmapped,Najahid Dynasty,8098.061256408691
Estado Novo,Republic of Zimbabwe,8078.244903564453
Stateless & unmapped,Electorate of Hanover,8074.865234375
Iberian Union,Dutch Republic,8062.9189453125
Stateless & unmapped,French Second Republic,8050.336583852768
Maratha Empire,Nawab of Awadh,8013.8828125
Nguyễn lords,Cambodia,8010.98503112793
Lydia,Greek City-States,8005.19409790039
Protectorate of the Western Regions,Tuyuhun,8005.005758807063
Kingdom of Portugal,Iberian Union,8002.0084228515625
Principality of Mingrelia,Ottoman Empire,8001.547256469727
Kingdom of Serbia,Republic of Venice,8001.283222198486
Chüzan,Ryukyu Kingdom,7999.875915527344
Republic of Venice,(Holy Roman Empire),7993.177062988281
Duchy of Sandomierz,Kingdom of Hungary,7983.491882324219
(Kingdom of England),Kingdom of Powys,7961.366790771484
French Africa,Ghana,7954.678955078125
(Habsburg Monarchy),Holy Roman Empire Minor States,7903.16015625
Jaemtland,Old Kingdom of Norway,7902.534635359887
English Colonial Empire,Mughal Empire,7871.3369140625
Wei,Xiongnu,7860.3376932144165
Swedish Empire,Denmark-Norway,7839.1871337890625
Stateless & unmapped,Konbaung Dynasty,7837.369888305664
Habsburg Monarchy,Swiss Confederation,7819.4747314453125
Stateless & unmapped,Patriarchate of Aquileia,7814.5791015625
Samtskhe-Saatabago,Principality of Guria,7811.621398925781
Italian Africa,Ethiopia,7809.749221801758
Ambrosian Republic,Swiss Confederation,7808.036849975586
Kievan Rus',Mongol Empire,7799.304369926453
Polish-Lithuanian Commonwealth,Ottoman Empire,7785.717803955078
Empire of Japan,Union of Soviet Socialist Republics,7760.359446048737
Stateless & unmapped,Nguyễn dynasty,7758.837677001953
Stateless & unmapped,Maynila,7751.202697753906
County of Pallars,County of Pallars Sobirà,7696.793466567993
Kingdom of Afghanistan,Republic of Uzbekistan,7684.93994140625
Roman Republic,Etruscans,7678.823181152344
Kingdom of Hungary,Kingdom of Poland,7658.658264160156
Stateless & unmapped,West Franks,7647.149030685425
Unified Silla,Stateless & unmapped,7643.980201721191
Puebloans - Chaco Regional System,Stateless & unmapped,7639.09569978714
Yue,Stateless & unmapped,7638.772319412232
Kingdom of Poland,Kingdom of Bohemia,7623.071594238281
Stateless & unmapped,Wattasid dynasty,7609.611692428589
Kingdom of Gwynedd,Kingdom of Powys,7593.398902893066
Stateless & unmapped,Shunga Empire,7588.184454727174
Polish-Lithuanian Commonwealth,Principality of Moldavia,7567.054992675781
Nicaean Empire,Republic of Genoa,7563.252670288086
County of Ribagorza,Stateless & unmapped,7552.824249267578
Caliphate of Córdoba,Taifa of Niebla,7545.076797485352
Berar Sultanate,Bidar Sultanate,7543.763671875
Ottoman Empire,Khanates of the Caucasus,7516.1173095703125
Stateless & unmapped,Khadga Dynasty,7493.998321533203
Philistia,Kingdom of Judah,7483.548580932617
Irish Catholic Confederation,Stateless & unmapped,7483.4376220703125
Tabal Kingdom,Stateless & unmapped,7481.887472915648
Carnatic Sultanate,Stateless & unmapped,7468.852783203125
Najahid Dynasty,Stateless & unmapped,7467.1341552734375
Papal States,Kingdom of Naples (Napoleonic),7466.86767578125
Ptolemaic Kingdom,Nanda Empire,7376.5117773437505
West Franks,(Holy Roman Empire),7374.978485107422
Hungary,Republic of Croatia,7353.31201171875
Nicaean Empire,Stateless & unmapped,7352.91535949707
Taifa of Badajoz,Kingdom of Castile,7344.580680847168
Ming Dynasty,Spanish Empire,7338.895782470703
Kingdom of Naples,Stateless & unmapped,7334.695373535156
Kingdom of Poland,Kingdom of Hungary,7333.824645996094
House of Tocco,Stateless & unmapped,7311.576629638672
Stateless & unmapped,French Third Republic,7291.5059814453125
Majapahit,Sultanate of Malacca,7284.253324508667
Lu,Wey,7280.336227416992
Republic of Venice,Byzantine Empire,7263.63198184967
Nogai Horde,Stateless & unmapped,7184.690774440765
Greek City-States,Etruscans,7169.347707748413
Southern Chu,Stateless & unmapped,7165.958679199219
Shunga Empire,Stateless & unmapped,7160.1276008605955
Holy Roman Empire Minor States,Patriarchate of Aquileia,7145.900054931641
Holy Roman Empire Minor States,Duchy of Warsaw,7142.7109375
Holy Roman Empire Minor States,Capetian House of Anjou,7121.979187011719
Stateless & unmapped,Principality of Salerno,7120.283248901367
Principality of Serbia,Byzantine Empire,7115.913070678711
Eastern Roman Empire,Old Great Bulgaria,7113.2027769088745
Greek Colonies,Stateless & unmapped,7094.438613510132
French Africa,Morocco,7086.420276641846
Stateless & unmapped,Aquitaine,7086.228536605835
Hanthawaddy Kingdom,Prome Kingdom,7078.338409423828
Holy Roman Empire,Duchy of Styria,7075.001525878906
County of Flanders,Holy Roman Empire,7074.880859375
Shirvan,Stateless & unmapped,7067.612213134766
Kingdom of Hungary,House of Jagiellon,7054.549392700195
Kingdom of Mrauk U,Prome Kingdom,7047.00732421875
New France,Spanish Empire,7039.65654759109
Stateless & unmapped,Earldom of Desmond,7014.5562744140625
Stateless & unmapped,Sunda Kingdom,7006.6706619262695
Astrakhan Khanate,Sloboda Ukraine,6990.5560302734375
Kingdom of Spain,Papal States,6985.9215087890625
Crimean Khanate,Principality of Moldavia,6966.95947265625
Song,Zheng,6949.9879943847645
Stateless & unmapped,House of Tocco,6926.756652832031
Marinid Sultanate,Stateless & unmapped,6926.242382049561
(Kingdom of Bohemia),Electorate of Saxony,6925.796875
Sokoto Caliphate,Stateless & unmapped,6922.098358154297
Kingdom of France,County of Périgord,6919.867401123047
Portuguese Colonies,Mughal Empire,6909.842041015625
Habsburg Monarchy,Ottoman Empire,6908.427978515625
Taifa of Córdoba,Taifa of Almería,6901.3021240234375
Czechoslovakia,Republic of Poland,6886.548248291016
Kingdom of France,County of Blôis,6882.455642700195
County of Vermandois,County of Artois,6875.893981933594
Beylik of Teke,Stateless & unmapped,6868.5838623046875
Han Dynasty,Dong-okjeo,6859.777214050293
Dutch Republic,Kingdom of France,6844.8916015625
Western Roman Empire,Lombards,6816.355163574219
Francoist Spain,Kingdom of Spain,6801.188102722168
Kingdom of Pergamon,Stateless & unmapped,6791.713333129883
Golconda Sultanate,Stateless & unmapped,6791.288864135742
Stateless & unmapped,Habsburg Monarchy,6774.275451660156
Stateless & unmapped,Pontianak Kadriyah Sultanate,6731.599497795105
Later Mayan City-States,Itza Mayans,6700.371456742287
Caliphate of Córdoba,Kingdom of León,6699.237121582031
Stateless & unmapped,Emirate of Nekor,6670.225620269775
Electorate of Hanover,Free City of Hamburg,6656.603515625
Republic of Genoa,House of Savoy,6651.920227050781
Joseon,Ming Dynasty,6650.4715576171875
Fihrids,Stateless & unmapped,6644.438417434692
Stateless & unmapped,Sultanate of Sukadana,6635.1041486263275
Stateless & unmapped,Puebloans - Chaco Regional System,6633.877834737301
Uyghur Khaganate,Kimek-Kipchak confederation,6632.72653529048
Mughal Empire,Portuguese Colonies,6630.61328125
Stateless & unmapped,Second Athenian League,6630.026864814759
Greek Colonies,Aetolian League,6623.175256347657
Kingdom of Prussia,Free City of Lübeck,6621.5848388671875
House of Habsburg,Republic of Venice,6599.983062744141
Stateless & unmapped,Later Yan,6590.775936603546
Stateless & unmapped,Liu Song Dynasty,6575.14879989624
Khanate of Bukhara,Oirat Confederation,6566.889448791742
Byzantine Empire,Duchy of Benevento,6542.807205200195
Xianbei,Han Dynasty,6539.185531616211
Almoravid Dynasty,Taifa of Carmona,6532.8050537109375
Duchy of Lorraine,Stateless & unmapped,6518.005065917969
Kingdom of Armenia,Kingdom of Pontus,6512.628229713439
Sultanate of Johor,Dutch East Indies,6506.279327392578
Kingdom of Wessex,Kingdom of Mercia,6478.288917541504
Stateless & unmapped,Denmark,6477.9109354019165
Kashmir,(Delhi Sultanate),6467.961669921875
Second Syrian Republic,Kingdom of Jordan,6464.060546875
Electorate of Saxony,Habsburg Monarchy,6455.876525878906
Wey,Qi,6448.378327941895
Chu,Stateless & unmapped,6434.854512405395
Oghuz Turks,Seljuk Dynasty,6419.059918522835
House of Tocco,Despotate of Epirus,6419.023584365845
County of Barcelona,County of Ampuria,6408.674713134766
Ottoman Empire,French Third Republic,6406.16259765625
Byzantine Empire,Khazaria,6394.313211917877
Stateless & unmapped,Kingdom of Pergamon,6358.638790130615
Stateless & unmapped,Chagatai Khanate,6351.080682106316
Stateless & unmapped,County of Anjou,6342.295166015625
Dutch Republic,Danish India,6340.45751953125
Kingdom of France,Republic of Genoa,6312.569580078125
Stateless & unmapped,County of Ampuria,6297.5107421875
Kingdom of Denmark,Stateless & unmapped,6292.675546646118
