from,to,population
Late Pallava Empire,Kalabhra Dynasty,7551265.862184048
British Colonial Empire,Commonwealth of Australia,7502803.67229569
Stateless & unmapped,Vijayanagara Empire,7483912.925570786
Mamluk Sultanate,Ottoman Empire,7371320.073218109
British Africa,Federal Republic of Somalia,7324928.469511688
Greco-Bactrian Kingdom,Indo-Greeks,7301285.906216775
Austria-Hungary,Union of Soviet Socialist Republics,7291367.638569117
German Africa,British Africa,7123377.424527355
Abbasid Caliphate,Tulunids,7083526.198818825
Abbasid Caliphate,Fatimid Caliphate,7058389.102762364
Ayyubid Sultanate,Mamluk Sultanate,6983175.39919075
Mughal Empire,Afsharid Iran,6909636.397303075
Liu Song Dynasty,Northern Wei,6889838.304993868
Gurjara-Pratihara Dynasty,Stateless & unmapped,6872386.822224617
Kingdom of Naples (Napoleonic),Kingdom of the Two Sicilies,6858675.117263794
Stateless & unmapped,Ghaznavid Empire,6850970.029198766
United Kingdoms of Sweden and Norway,Kingdom of Sweden,6837205.264108241
Mughal Empire,British Raj,6822606.017067909
Austria-Hungary,Second Republic of Austria,6809238.625079393
Sasanian Empire,Rashidun Caliphate,6784493.70977059
British Colonial Empire,People's Republic of China,6781774.341674805
Stateless & unmapped,Aztec Triple Alliance,6760030.685398459
Maitraka Dynasty,Gurjara-Pratihara Dynasty,6733656.50648737
French Africa,Republic of Benin,6719759.598526001
Belgian Congo,Republic of Burundi,6686721.387207031
Principality of Bulgaria,People's Republic of Bulgaria,6558365.077947617
Konbaung Dynasty,Burma,6557371.864664316
Kingdom of Great Britain,Éire,6483766.399070978
Qin,Han Dynasty,6477212.028615748
Dutch Republic,Dutch East Indies,6438334.431449771
Stateless & unmapped,Indo-Scythians,6410492.061638169
Stateless & unmapped,Sena Dynasty,6361673.618901253
Mughal Empire,Carnatic Sultanate,6284133.77088213
Union of Soviet Socialist Republics,Republic of Azerbaijan,6276620.504807711
Stateless & unmapped,Roman Empire,6266845.414106227
Union of Soviet Socialist Republics,Republic of Tajikistan,6170295.935160577
Kingdom of Mysore,British Empire,6150028.748138428
Mongol Empire,Golden Horde,6112283.302575193
Stateless & unmapped,British Colonial Empire,6072851.881399501
Stateless & unmapped,Xiongnu,6061304.125944488
Hungarian Nationalists,Socialist Republic of Romania,5997885.25738287
Tulunids,Abbasid Caliphate,5950988.892643653
House of Jagiellon,Polish-Lithuanian Commonwealth,5920954.797070235
United States of America,Republic of Cuba,5910642.2638299465
Eastern Ganga Kingdom,Stateless & unmapped,5858791.714994609
Vijayanagara Empire,Bijapur Sultanate,5807948.029687047
Ottoman Empire,Kingdom of Iraq,5793409.27193445
Late Pallava Empire,Stateless & unmapped,5772524.4714564085
Commonwealth of England,Kingdom of England,5682580.096667767
Safavid Dynasty,Afsharid Iran,5635564.184908494
Libyan Arab Republic,State of Libya,5616875.895695984
Parthian Empire,Sasanian Empire,5597757.2943169605
Kakatiya Dynasty,Stateless & unmapped,5587990.416267276
Western Wei,Sui Dynasty,5492277.81875781
Tang Dynasty,Southern Wu,5447644.395003334
Eastern Roman Empire,Byzantine Empire,5439841.6201964505
Crown of Castile,Kingdom of Spain,5417733.602875769
Stateless & unmapped,Nawab of Awadh,5414556.123535156
Gupta Empire,Vakataka Kingdom,5384331.365732491
Stateless & unmapped,Eastern Ganga Kingdom,5378226.312141746
Kingdom of Spain,Kingdom of Naples (Napoleonic),5354485.758113861
Czechoslovakia,Slovakia,5335471.377164125
Afsharid Iran,Qajar Dynasty,5322028.044971913
Macedonian Empire,Seleucid Empire,5319997.85082654
French Indochina,Communist Laos,5301349.895773172
Qing Dynasty,Republic of China,5266338.760890961
Western Jin,Former Yan,5259557.697400466
Southern Wu,Northern Song,5244995.660351545
Polish-Lithuanian Commonwealth,Russian Empire,5157937.706119299
Harsha's Empire,Stateless & unmapped,5119044.798828125
Mughal Empire,Durrani Empire,5071977.771974087
Heian Japan,Kamakura Shogunate,5038387.247734904
Paramara Dynasty,(Delhi Sultanate),5026024.639140189
Stateless & unmapped,Mongol Empire,5003777.381703945
Maukhari Dynasty,Harsha's Empire,4991465.061035156
(Kingdom of Bohemia),Kingdom of Bohemia,4978113.679946899
Indo-Scythians,Western Satraps,4940015.759195954
Xiongnu,Stateless & unmapped,4923317.442045109
Khanate of Kokand,Russian Empire,4898864.904363006
Union of Soviet Socialist Republics,Kyrgyzstan,4891294.861738682
Tây Sơn dynasty,Nguyễn dynasty,4864590.540921688
Burma,British Raj,4839938.499151707
Western Roman Empire,Ostrogothic Kingdom,4838802.85413067
Western Chalukya Empire,Chola Empire,4818539.534891367
Kingdom of the Franks,(Kingdom of the Franks),4816785.924506456
Stateless & unmapped,Kamarupa Kingdom,4806181.108341485
Kingdom of England,Commonwealth of England,4762783.130430222
Gahadavala Dynasty,Stateless & unmapped,4756168.766052246
Papal States,Kingdom of Italy,4722953.990016937
Yaudheya Republic,Gupta Empire,4711825.139472842
Han Dynasty,Shu Han,4700955.538369045
French Africa,Togo,4685152.872543335
German Africa,Belgian Congo,4676723.371026993
Minyue,Han Dynasty,4666142.005284093
First Toungoo Empire,Konbaung Dynasty,4630359.122086048
Stateless & unmapped,Qin,4623458.656590117
Union of Soviet Socialist Republics,Turkmenistan,4594918.227445245
