year,family,population,share
-50,sinic,10827.44920089245,4.790079292872868e-05
-50,steppe,4232467.778442337,0.018724499082939314
0,americas,154876.84429949522,0.0006672152077266794
0,ancientne,86582.63770221546,0.0003730012246911193
0,classical,15421.450765609741,6.643618368234403e-05
0,dharmic,47697384.74037759,0.20548210813250736
0,orthodox,558436.9854779541,0.0024057673111379904
0,sinic,20549.0955657959,8.852626826522048e-05
0,steppe,4233264.068577339,0.018237059113987403
50,americas,159127.0171174705,0.0006785382885752183
50,ancientne,90198.79869421013,0.00038461940408477925
50,classical,22003.007247924805,9.382368344461271e-05
50,dharmic,48906614.26458154,0.20854416141414708
50,orthodox,576306.7198742889,0.002457446777307591
50,sinic,401122.2469697073,0.0017104374096784916
50,steppe,3423589.791663278,0.01459863196143418
100,americas,163377.1899354458,0.0006896328900451488
100,ancientne,93422.37204058841,0.000394345994386859
100,classical,23339.99687719345,9.852066562305052e-05
100,dharmic,43836855.79293838,0.18504013664895105
100,orthodox,594609.2473616824,0.0025099103116391773
100,sinic,70002.425121665,0.00029548785094111335
100,steppe,1340950.6534830357,0.00566029857004416
100,westeurope,35.09205150604248,1.481273665392797e-07
150,ancientne,461147.63892700523,0.0019314416748674062
150,classical,19363.97743654251,8.110286132908168e-05
150,dharmic,30717602.997970577,0.1286556702759212
150,orthodox,380323.9227695763,0.0015929247216692087
150,sinic,67509.94507527351,0.00028275439442731803
150,steppe,1011409.6232792741,0.004236124251462878
150,westeurope,37.04161047935486,1.5514274419901306e-07
200,ancientne,395029.9541606903,0.0016417721353192856
200,classical,169977.7319123298,0.0007064393495712399
200,dharmic,32477265.909329824,0.134977790012357
200,orthodox,392922.8542986661,0.0016330148808291636
200,sinic,58141.060015797615,0.0002416383143771266
200,steppe,936737.9488243014,0.003893148472103687
200,westeurope,38.991169452667236,1.620500290083362e-07
250,ancientne,427527.7761425972,0.0018264112431776148
250,classical,388431.2401368469,0.0016593896906261754
250,dharmic,46285921.85245467,0.19773482049495475
250,orthodox,218329.56668075174,0.0009327103349907722
250,sinic,45857.16785211861,0.000195903170785931
250,steppe,3149591.2774880044,0.013455146639874859
250,westeurope,40.94072771072388,1.748999937954889e-07
300,ancientne,460031.89804553986,0.0020216770782596036
300,classical,1511173.019796148,0.006641069604925058
300,dharmic,49876902.97690134,0.21919130371476472
300,orthodox,238.72522926330566,1.0491127377348023e-06
300,sinic,31777.30050471425,0.0001396499684310771
