year,polity_id,country_iso,population
800,Papal States,VAT,17.206380612032103
800,Pala Empire,BGD,9249821.211299423
800,Pala Empire,IND,27561331.86673187
800,Pala Empire,NPL,1596270.1742618205
800,Duchy of Benevento,ITA,472410.50585746765
800,Yenisei Kyrgyz,RUS,5065.434620499611
800,Tibetan Empire,-99,81.8915361889881
800,Tibetan Empire,AFG,3141.3400083723873
800,Tibetan Empire,BTN,183.76578051230592
800,Tibetan Empire,CHN,1273630.6219586236
800,Tibetan Empire,IND,30754.357645363456
800,Tibetan Empire,KAZ,4309.135393410266
800,Tibetan Empire,KGZ,17893.074636517733
800,Tibetan Empire,MMR,7993.132650091176
800,Tibetan Empire,NPL,3268.0645339540374
800,Tibetan Empire,PAK,8521.01464143
800,Tibetan Empire,TJK,18794.94975616991
800,Duchy of Croatia,BIH,32684.986150904104
800,Duchy of Croatia,HRV,85711.4258710905
800,Rashtrakuta Dynasty,IND,25274581.99971169
800,Qarlugs,CHN,598.759905480174
800,Qarlugs,KAZ,208208.09555182006
800,Qarlugs,KGZ,65241.23236514458
800,Qarlugs,UZB,293.9249318240943
800,Idrisids,DZA,181521.2772733568
800,Idrisids,MAR,1084536.9267014863
800,Ghana Empire,MLI,119743.67282708862
800,Ghana Empire,MRT,63678.52378587666
800,Kimek-Kipchak confederation,KAZ,517391.0110040141
800,Kimek-Kipchak confederation,RUS,22569.859292136283
800,Barghawata Conference,MAR,231423.79788780207
800,Gurjara-Pratihara Dynasty,IND,13183928.445743684
800,Gurjara-Pratihara Dynasty,PAK,599603.6038811161
800,Emirate of Nekor,DZA,0.7400476143632299
800,Emirate of Nekor,MAR,54132.34876426003
800,Uyghur Khaganate,CHN,314641.950792566
800,Uyghur Khaganate,KAZ,15558.335053881508
800,Uyghur Khaganate,KGZ,30.9445778291151
800,Uyghur Khaganate,MNG,501027.7006253692
800,Uyghur Khaganate,RUS,143125.92393242678
800,Uyghur Khaganate,UZB,0.06541598344610032
800,Late Pallava Empire,IND,4964834.882964134
800,Kingdom of Mercia,GBR,333851.0925440788
800,Water Chenla,KHM,595478.8751186309
800,Water Chenla,THA,67702.37183576095
800,Water Chenla,VNM,431724.7250828341
800,Viking settlements,DEU,4278.951683587077
800,Viking settlements,FRO,1902.4869262269044
800,Viking settlements,GBR,2452.668179004886
800,Viking settlements,RUS,19364.03642820832
800,Nanzhao,CHN,1383336.0097409023
800,Nanzhao,LAO,23855.15009977147
800,Nanzhao,MMR,3950.0519269749625
800,Nanzhao,VNM,185373.56103169383
800,Land Chenla,KHM,74922.53601738584
800,Land Chenla,LAO,75941.53433788642
800,Land Chenla,THA,95470.05789611957
800,Land Chenla,VNM,23424.98857848029
800,Avar Khaganate,BIH,7.486764273205443
800,Avar Khaganate,HRV,1306.1681532355556
800,Avar Khaganate,HUN,138016.37943710043
