country_iso,year,gdppc
JPN,1300,844.1029411764706
JPN,1350,851.5852941176471
JPN,1400,859.0676470588235
JPN,1450,866.55
JPN,1500,931.3666666666667
JPN,1550,996.1833333333333
JPN,1600,1061.0
JPN,1650,1067.0
JPN,1700,1073.0
JPN,1750,953.0
JPN,1800,1317.0
JPN,1850,1436.0
JPN,1900,2123.2506
JPN,1950,3062.0
JPN,2000,33210.8078
JPN,2015,37031.0
KAZ,2000,9309.4195
KAZ,2015,23850.0
KEN,1950,1038.0
KEN,2000,1914.8864
KEN,2015,3046.0
KGZ,2000,3246.3831
KGZ,2015,4754.0
KHM,1950,768.0
KHM,2000,1659.0891
KHM,2015,3086.0
KOR,1850,818.5241
KOR,1900,1030.5046658536585
KOR,1950,998.0888
KOR,2000,23108.0175
KOR,2015,35269.0
KWT,1950,46031.0
KWT,2000,35844.7475
KWT,2015,71354.0
LAO,1950,697.0
LAO,2000,2262.2356
LAO,2015,5559.0
LBN,1850,1342.0
LBN,1900,2070.046511627907
LBN,1950,3872.0
LBN,2000,7405.707
LBN,2015,12953.0
LBR,1950,3151.0
LBR,2000,971.933
LBR,2015,865.0
LBY,1950,620.0
LBY,2000,9770.9804
LBY,2015,8514.0
LCA,1950,1231.0
LCA,2000,7191.2747
LCA,2015,10185.0
LKA,1850,899.0
LKA,1900,2056.0
LKA,1950,1997.0
LKA,2000,5841.0941
LKA,2015,10763.0
LSO,1950,631.0
LSO,2000,1967.4333
LSO,2015,2710.0
LTU,2000,10806.8739
LTU,2015,23889.0
LUX,1950,13378.0
LUX,2000,50063.8241
LUX,2015,55972.0
LVA,2000,11309.7404
LVA,2015,21488.0
MAR,1850,812.2
MAR,1900,1060.953488372093
MAR,1950,2319.0
MAR,2000,4753.6383
MAR,2015,8001.0
MDA,2000,2989.5348
MDA,2015,5775.0
MDG,1950,1516.0
MDG,2000,1238.7764
MDG,2015,1360.0
MEX,1550,574.0
MEX,1600,799.0
MEX,1650,1172.0
MEX,1700,1476.0
MEX,1750,1296.0
MEX,1800,1305.0
MEX,1850,1054.0
MEX,1900,1822.0
MEX,1950,3510.0
MEX,2000,12613.3961
MEX,2015,16096.0
MKD,2000,8083.7897
MKD,2015,12371.0
MLI,1950,728.0
MLI,2000,1153.0461
MLI,2015,1553.0
MLT,1950,1573.0
MLT,2000,20434.5495
MLT,2015,28700.0
MMR,1850,803.0
MMR,1900,1103.967741935484
MMR,1950,631.0
MMR,2000,1843.4945
MMR,2015,5021.0
MNE,2000,6046.1422
MNE,2015,17249.0
MNG,1950,677.0
MNG,2000,2936.0628
MNG,2015,12398.0
MOZ,1950,1806.0
MOZ,2000,1196.0149
MOZ,2015,1103.0
MRT,1950,679.0
MRT,2000,1934.742
MRT,2015,3424.0
MUS,1950,3942.0
MUS,2000,14272.3009
