polity_id,year,urban_pop
Eastern Moghulistan,1550,17713.11475409836
Eastern Moghulistan,1600,18594.262295081968
Eastern Moghulistan,1650,69475.40983606558
Eastern Roman Empire,400,1635463.0442871822
Eastern Roman Empire,450,1728805.265360093
Eastern Roman Empire,500,1953978.9882645055
Eastern Roman Empire,550,1788333.7458893943
Eastern Roman Empire,600,1667443.5784838654
Eastern Wei,550,1763831.5494216247
Eastern Wu,250,223138.1264948123
Elam,-2000,50000.0
Elam,-1750,35000.0
Elam,-1500,36250.0
Elam,-1250,44375.0
Elam,-1000,25000.0
Elam,-950,25500.0
Elam,-900,26000.0
Elam,-850,26500.0
Elam,-800,27000.0
Elam,-750,28000.0
Elam,-700,29000.0
Elam,-650,30000.0
Electorate of Brandenburg,1600,14000.0
Electorate of Hanover,1750,37040.0
Electorate of Hanover,1800,46562.72
Electorate of Hesse,1850,72000.0
Electorate of Saxony,1500,14252.930848414411
Electorate of Saxony,1550,21311.419867235658
Electorate of Saxony,1600,28658.278568041726
Electorate of Saxony,1650,35721.93235441767
Electorate of Saxony,1800,92000.0
Electorate of Trier,1500,57580.410223642175
Electorate of Trier,1550,54187.76303057964
Electorate of Trier,1600,47635.37142857143
Emirate of Afghanistan,1850,113900.4329004329
Emirate of Afghanistan,1900,152904.7619047619
Emirate of Bukhara,1800,83513.51351351352
Emirate of Bukhara,1850,87777.77777777778
Emirate of Córdoba,800,425000.0
Emirate of Córdoba,850,381500.0
Emirate of Córdoba,900,343000.0
Emirate of Granada,1250,75000.0
Emirate of Granada,1300,90000.0
Emirate of Granada,1350,60000.0
Emirate of Granada,1400,90000.0
Emirate of Granada,1450,165000.0
Emirate of Sicily,850,26269.035532994923
Emirate of Sicily,900,27538.071065989847
Emirate of Sicily,1000,105076.1421319797
Emirate of Sicily,1050,118640.25963218774
Empire of Brazil,1850,290286.0588235294
Empire of Haiti,1900,61000.0
Empire of Japan,1900,5788789.935483871
English Colonial Empire,1650,15000.0
English Colonial Empire,1700,6700.0
English Colonial Empire,1750,55000.0
Estado Novo,1950,1675789.4736842106
Ethiopia,1950,325000.0
Ethiopia,2000,2424000.0
Ethiopia,2015,2424000.0
Ethiopian Empire,1300,61666.666666666664
Ethiopian Empire,1350,45833.33333333333
Ethiopian Empire,1400,30000.0
Ethiopian Empire,1450,31500.0
Ethiopian Empire,1500,33000.0
Ethiopian Empire,1550,27444.444444444445
Ethiopian Empire,1600,21888.88888888889
Ethiopian Empire,1650,16333.333333333332
Ethiopian Empire,1700,82777.77777777778
Ethiopian Empire,1750,45222.22222222222
Ethiopian Empire,1800,21580.31674208145
Ethiopian Empire,1850,13825.0
Ethiopian Empire,1900,75000.0
Fatimid Caliphate,950,118807.10659898477
Fatimid Caliphate,1000,1351176.9975464558
